"Name_Poetry_Books_name","Name_Poetry_Books_url","Name_Poetry_Books_Author","Name_Poetry_Books_Price","Name_Poetry_Books_Type_Copy","Name_Poetry_Books_Reviews","Name_Poetry_Books_Formats_Available","Name_Poetry_Books_Genre","Name_Poetry_Books_Product_details_Publisher","Name_Poetry_Books_Product_details_Language","Name_Poetry_Books_extract1"
"The Written World: The Power of Stories to…","https://www.amazon.com/Written-World-Stories-History-Civilization-ebook/dp/B06VXP1SYW/ref=zg_bs_10248_1/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Martin Puchner","$1.99
Save $18.01 (90%)","Kindle Edition","43 customer reviews","","Historical Biographies","Publisher: Random House; Reprint edition (October 24, 2017)","","The Written World: The Power of Stories to…"
"The Written World: The Power of Stories to…","https://www.amazon.com/Written-World-Stories-History-Civilization-ebook/dp/B06VXP1SYW/ref=zg_bs_10248_1/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Martin Puchner","$1.99
Save $18.01 (90%)","Kindle Edition","43 customer reviews","","Historical Biographies","","English","The Written World: The Power of Stories to…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/1984854275/ref=zg_bs_10248_2/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Lin-Manuel Miranda","$13.20","Hardcover","41 customer reviews","","Self-Esteem","Language: English","","Gmorning, Gnight!: Little Pep Talks for Me &…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/1984854275/ref=zg_bs_10248_2/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Lin-Manuel Miranda","$13.20","Hardcover","41 customer reviews","","Self-Esteem","","English","Gmorning, Gnight!: Little Pep Talks for Me &…"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10248_3/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $8.50 (50%)","Kindle Edition","980 customer reviews","Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms.
this is the recipe of life
said my mother
as she held me in her arms as i wept
think of those flowers you plant
in the garden each year
they will teach you
that people too
must wilt
fall
root
rise
in order to bloom","Gothic & Romantic Literary Criticism","Page Numbers Source ISBN: 1449486797","","The Sun and Her Flowers"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10248_3/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $8.50 (50%)","Kindle Edition","980 customer reviews","Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms.
this is the recipe of life
said my mother
as she held me in her arms as i wept
think of those flowers you plant
in the garden each year
they will teach you
that people too
must wilt
fall
root
rise
in order to bloom","Gothic & Romantic Literary Criticism","","English","The Sun and Her Flowers"
"I hope this reaches her in time","https://www.amazon.com/hope-this-reaches-her-time/dp/1979772304/ref=zg_bs_10248_4/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$3.80","Paperback","458 customer reviews","","African American Poetry","Language: English","","I hope this reaches her in time"
"I hope this reaches her in time","https://www.amazon.com/hope-this-reaches-her-time/dp/1979772304/ref=zg_bs_10248_4/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$3.80","Paperback","458 customer reviews","","African American Poetry","","English","I hope this reaches her in time"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell-ebook/dp/B0732M5YYT/ref=zg_bs_10248_5/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$8.49
Save $8.50 (50%)","Kindle Edition","184 customer reviews","Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","Gay & Lesbian Poetry","Publisher: Andrews McMeel Publishing (August 29, 2017)","","Pillow Thoughts"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell-ebook/dp/B0732M5YYT/ref=zg_bs_10248_5/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$8.49
Save $8.50 (50%)","Kindle Edition","184 customer reviews","Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","Gay & Lesbian Poetry","","English","Pillow Thoughts"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X/ref=zg_bs_10248_6/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.99","Paperback","5,715 customer reviews","#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.
The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Inspirational & Religious Poetry","Publisher: Andrews McMeel Publishing; Reprint edition (October 6, 2015)","","Milk and Honey"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X/ref=zg_bs_10248_6/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.99","Paperback","5,715 customer reviews","#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.
The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Inspirational & Religious Poetry","","English","Milk and Honey"
"Dr. Seuss's Beginner Book Collection (Cat in…","https://www.amazon.com/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_7/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$25.62","Hardcover","1,384 customer reviews","","Poetry Anthologies","Lexile Measure: 0430 (What's this?)","","Dr. Seuss's Beginner Book Collection (Cat in…"
"Dr. Seuss's Beginner Book Collection (Cat in…","https://www.amazon.com/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_7/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$25.62","Hardcover","1,384 customer reviews","","Poetry Anthologies","","English","Dr. Seuss's Beginner Book Collection (Cat in…"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10248_8/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$12.74","Paperback","980 customer reviews","From Rupi Kaur, the #1 New York Times bestselling author of milk and honey, comes her long-awaited second collection of poetry. A vibrant and transcendent journey about growth and healing. Ancestry and honoring one’s roots. Expatriation and rising up to find a home within yourself. Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms. this is the recipe of life said my mother as she held me in her arms as i wept think of those flowers you plant in the garden each year they will teach you that people too must wilt fall root rise in order to bloom","","Language: English","","The Sun and Her Flowers"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10248_8/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$12.74","Paperback","980 customer reviews","-''-","","","English","The Sun and Her Flowers"
"How the Grinch Stole Christmas! (Classic…","https://www.amazon.com/Grinch-Stole-Christmas-Classic-Seuss/dp/0394800796/ref=zg_bs_10248_9/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Dr. Seuss","$9.41","Hardcover","824 customer reviews","","","Lexile Measure: 510L (What's this?)","","How the Grinch Stole Christmas! (Classic…"
"How the Grinch Stole Christmas! (Classic…","https://www.amazon.com/Grinch-Stole-Christmas-Classic-Seuss/dp/0394800796/ref=zg_bs_10248_9/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Dr. Seuss","$9.41","Hardcover","824 customer reviews","","","","English","How the Grinch Stole Christmas! (Classic…"
"Where the Sidewalk Ends: Poems and…","https://www.amazon.com/Where-Sidewalk-Ends-Poems-Drawings/dp/0060256672/ref=zg_bs_10248_10/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shel Silverstein","$13.19","Hardcover","1,701 customer reviews","","Children's Humorous Poetry","Lexile Measure: NP (What's this?)","","Where the Sidewalk Ends: Poems and…"
"Where the Sidewalk Ends: Poems and…","https://www.amazon.com/Where-Sidewalk-Ends-Poems-Drawings/dp/0060256672/ref=zg_bs_10248_10/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shel Silverstein","$13.19","Hardcover","1,701 customer reviews","","Children's Humorous Poetry","","English","Where the Sidewalk Ends: Poems and…"
"The Flame: Poems Notebooks Lyrics Drawings","https://www.amazon.com/Flame-Poems-Notebooks-Lyrics-Drawings/dp/0374156069/ref=zg_bs_10248_11/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$22.40","Hardcover","15 customer reviews","NEW YORK TIMES BEST SELLER
Named a Fall Read by Esquire, The Washington Post, TIME and Vanity Fair
“There are very, very few people who occupy the ground that Leonard Cohen walks on.” ―BONO
The Flame is the final work from Leonard Cohen, the revered poet and musician whose fans span generations and whose work is celebrated throughout the world. Featuring poems, excerpts from his private notebooks, lyrics, and hand-drawn self-portraits, The Flame offers an unprecedentedly intimate look inside the life and mind of a singular artist.
A reckoning with a life lived deeply and passionately, with wit and panache, The Flame is a valedictory work.
“This volume contains my father’s final efforts as a poet,” writes Cohen’s son, Adam Cohen, in his foreword. “It was what he was staying alive to do, his sole breathing purpose at the end.”
Leonard Cohen died in late 2016. But “each page of paper that he blackened,” in the words of his son, “was lasting evidence of a burning soul.”","Lyrics in Music","Language: English","","The Flame: Poems Notebooks Lyrics Drawings"
"The Flame: Poems Notebooks Lyrics Drawings","https://www.amazon.com/Flame-Poems-Notebooks-Lyrics-Drawings/dp/0374156069/ref=zg_bs_10248_11/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$22.40","Hardcover","15 customer reviews","-''-","Lyrics in Music","","English","The Flame: Poems Notebooks Lyrics Drawings"
"For Colored Girls Who Have Considered…","https://www.amazon.com/Colored-Girls-Considered-Suicide-Rainbow/dp/0684843269/ref=zg_bs_10248_12/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Ntozake Shange","$10.20","Paperback","204 customer reviews","A revolutionary, award-winning play by a lauded playwright and poet about the experiences of women of color.
From its inception in California in 1974 to its highly acclaimed critical success at Joseph Papp's Public Theater and on Broadway, the Obie Award-winning for colored girls who have considered suicide/when the rainbow is enuf has excited, inspired, and transformed audiences all over the country. Passionate and fearless, Shange's words reveal what it is to be of color and female in the twentieth century. First published in 1975 when it was praised by The New Yorker for ""encompassing...every feeling and experience a woman has ever had,"" for colored girls who have considered suicide/when the rainbow is enuf will be read and performed for generations to come. Here is the complete text, with stage directions, of a groundbreaking dramatic prose poem written in vivid and powerful language that resonates with unusual beauty in its fierce message to the world.","Play & Scriptwriting Writing Reference","Language: English","","For Colored Girls Who Have Considered…"
"For Colored Girls Who Have Considered…","https://www.amazon.com/Colored-Girls-Considered-Suicide-Rainbow/dp/0684843269/ref=zg_bs_10248_12/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Ntozake Shange","$10.20","Paperback","204 customer reviews","-''-","Play & Scriptwriting Writing Reference","","English","For Colored Girls Who Have Considered…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/B07FWBH4NP/ref=zg_bs_10248_13/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","41 customer reviews","","Poetry","Program Type: Audiobook","","Gmorning, Gnight!: Little Pep Talks for Me &…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/B07FWBH4NP/ref=zg_bs_10248_13/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","41 customer reviews","","Poetry","","English, English","Gmorning, Gnight!: Little Pep Talks for Me &…"
"For The Broken","https://www.amazon.com/Broken-Shenaia-Lucas-ebook/dp/B07419D8B2/ref=zg_bs_10248_14/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shenaia Lucas","$4.99
Save $10.00 (67%)","Kindle Edition","116 customer reviews","","American Poetry","Page Numbers Source ISBN: 1548411590","","For The Broken"
"For The Broken","https://www.amazon.com/Broken-Shenaia-Lucas-ebook/dp/B07419D8B2/ref=zg_bs_10248_14/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shenaia Lucas","$4.99
Save $10.00 (67%)","Kindle Edition","116 customer reviews","","American Poetry","","English","For The Broken"
"Hamlet (No Fear Shakespeare)","https://www.amazon.com/Hamlet-No-Fear-Shakespeare-William/dp/1586638440/ref=zg_bs_10248_15/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","William Shakespeare","$5.95","Paperback","8,980 customer reviews","","","Series: No Fear Shakespeare","","Hamlet (No Fear Shakespeare)"
"Hamlet (No Fear Shakespeare)","https://www.amazon.com/Hamlet-No-Fear-Shakespeare-William/dp/1586638440/ref=zg_bs_10248_15/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","William Shakespeare","$5.95","Paperback","8,980 customer reviews","","","","English","Hamlet (No Fear Shakespeare)"
"I hope this reaches her too","https://www.amazon.com/hope-this-reaches-her-too/dp/1719062277/ref=zg_bs_10248_16/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r. h. Sin","$3.99","Paperback","62 customer reviews","","","Language: English","","I hope this reaches her too"
"I hope this reaches her too","https://www.amazon.com/hope-this-reaches-her-too/dp/1719062277/ref=zg_bs_10248_16/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r. h. Sin","$3.99","Paperback","62 customer reviews","","","","English","I hope this reaches her too"
"I Am Her Tribe","https://www.amazon.com/Am-Her-Tribe-Danielle-Doby/dp/1449495559/ref=zg_bs_10248_17/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.99","Paperback","14 customer reviews","","Poetry by Women","Language: English","","I Am Her Tribe"
"I Am Her Tribe","https://www.amazon.com/Am-Her-Tribe-Danielle-Doby/dp/1449495559/ref=zg_bs_10248_17/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.99","Paperback","14 customer reviews","","Poetry by Women","","English","I Am Her Tribe"
"I Know Why the Caged Bird Sings","https://www.amazon.com/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10248_18/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Maya Angelou","$6.39","Mass Market Paperback","2,884 customer reviews","","Southern U.S. Biographies","Language: English","","I Know Why the Caged Bird Sings"
"I Know Why the Caged Bird Sings","https://www.amazon.com/Know-Why-Caged-Bird-Sings/dp/0345514408/ref=zg_bs_10248_18/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Maya Angelou","$6.39","Mass Market Paperback","2,884 customer reviews","","Southern U.S. Biographies","","English","I Know Why the Caged Bird Sings"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell/dp/1449489753/ref=zg_bs_10248_19/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$13.59","Paperback","184 customer reviews","Make a cup of tea and let yourself feel.
Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","","Language: English","","Pillow Thoughts"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell/dp/1449489753/ref=zg_bs_10248_19/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$13.59","Paperback","184 customer reviews","Make a cup of tea and let yourself feel.
Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","","","English","Pillow Thoughts"
"The Odyssey","https://www.amazon.com/Odyssey-Homer/dp/0140268863/ref=zg_bs_10248_20/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Homer","$14.29","Paperback","4,428 customer reviews","","Ancient & Classical Poetry","Publisher: Penguin Classics; Reprint edition (November 29, 1999)","","The Odyssey"
"The Odyssey","https://www.amazon.com/Odyssey-Homer/dp/0140268863/ref=zg_bs_10248_20/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Homer","$14.29","Paperback","4,428 customer reviews","","Ancient & Classical Poetry","","English","The Odyssey"
"Whiskey Words & a Shovel I","https://www.amazon.com/Whiskey-Words-Shovel-r-h-Sin-ebook/dp/B06XB7TTDL/ref=zg_bs_10248_21/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$8.49
Save $9.50 (53%)","Kindle Edition","109 customer reviews","Originally released in 2015, this re-rerelease packs the same punch as the first version, but makes an even greater connection with the soul of the reader. Each piece has been re-seen and revamped to reflect the author’s continuing journey with his partner, Samantha King, without whom this book would not exist. Samantha is the muse, the “she” the writer speaks of; she is every woman who has felt like she wasn’t good enough, and every woman who struggles to find love.","African-American Poetry","Publisher: Andrews McMeel Publishing; Revised edition (May 2, 2017)","","Whiskey Words & a Shovel I"
"Whiskey Words & a Shovel I","https://www.amazon.com/Whiskey-Words-Shovel-r-h-Sin-ebook/dp/B06XB7TTDL/ref=zg_bs_10248_21/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$8.49
Save $9.50 (53%)","Kindle Edition","109 customer reviews","Originally released in 2015, this re-rerelease packs the same punch as the first version, but makes an even greater connection with the soul of the reader. Each piece has been re-seen and revamped to reflect the author’s continuing journey with his partner, Samantha King, without whom this book would not exist. Samantha is the muse, the “she” the writer speaks of; she is every woman who has felt like she wasn’t good enough, and every woman who struggles to find love.","African-American Poetry","","English","Whiskey Words & a Shovel I"
