"Name_Poetry_Books_name","Name_Poetry_Books_url","Name_Poetry_Books_Author","Name_Poetry_Books_Price","Name_Poetry_Books_Type_Copy","Name_Poetry_Books_Reviews","Name_Poetry_Books_Formats_Available","Name_Poetry_Books_Genre","Name_Poetry_Books_Product_details_Publisher","Name_Poetry_Books_Product_details_Language","Name_Poetry_Books_extract1"
"Whiskey Words & a Shovel 2019 Deluxe…","https://www.amazon.com/Whiskey-Words-Shovel-Deluxe-Calendar/dp/144949417X/ref=zg_bs_10248_22/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","","","","Relationships, love, pain, and fortitude are powerfully rendered in r.h. Sin's poetry, and the Whiskey Words & a Shovel 2019 Day-to-Day Calendar presents his powerful message of perseverance that cuts to the heart of modern-day life.
Each page of this daily calendar features a poem specially selected by the author from his best-selling Whiskey Words & a Shovel series of books. And its cloth-covered wraparound binding and easel gives it a literary sophistication.","Poetry About Places","Language: English","","Whiskey Words & a Shovel 2019 Deluxe…"
"Whiskey Words & a Shovel 2019 Deluxe…","https://www.amazon.com/Whiskey-Words-Shovel-Deluxe-Calendar/dp/144949417X/ref=zg_bs_10248_22/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","","","","Relationships, love, pain, and fortitude are powerfully rendered in r.h. Sin's poetry, and the Whiskey Words & a Shovel 2019 Day-to-Day Calendar presents his powerful message of perseverance that cuts to the heart of modern-day life.
Each page of this daily calendar features a poem specially selected by the author from his best-selling Whiskey Words & a Shovel series of books. And its cloth-covered wraparound binding and easel gives it a literary sophistication.","Poetry About Places","","English","Whiskey Words & a Shovel 2019 Deluxe…"
"The Complete Poems and Plays, 1909–1950","https://www.amazon.com/Complete-Poems-Plays-1909-1950-ebook/dp/B00IHHQXHW/ref=zg_bs_10248_23/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","T. S. Eliot","$17.50","Kindle Edition","57 customer reviews","","","Publisher: Houghton Mifflin Harcourt; First edition (February 11, 2014)","","The Complete Poems and Plays, 1909–1950"
"The Complete Poems and Plays, 1909–1950","https://www.amazon.com/Complete-Poems-Plays-1909-1950-ebook/dp/B00IHHQXHW/ref=zg_bs_10248_23/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","T. S. Eliot","$17.50","Kindle Edition","57 customer reviews","","","","English","The Complete Poems and Plays, 1909–1950"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur-ebook/dp/B015X5KBJG/ref=zg_bs_10248_24/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $6.50 (43%)","Kindle Edition","5,715 customer reviews","The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Religious & Inspirational Poetry","Publisher: Andrews McMeel Publishing (October 6, 2015)","","Milk and Honey"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur-ebook/dp/B015X5KBJG/ref=zg_bs_10248_24/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $6.50 (43%)","Kindle Edition","5,715 customer reviews","The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Religious & Inspirational Poetry","","English","Milk and Honey"
"for colored girls who have considered…","https://www.amazon.com/colored-girls-have-considered-suicide/dp/B004ADO5HC/ref=zg_bs_10248_25/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","204 customer reviews","This groundbreaking work of literature was originally written as an extended choreopoem, debuted on Broadway in 1976, and is an upcoming star-studded movie. For the first time, it is brought to live in audio in this powerful and moving performance by one of the film's stars, acclaimed actress Thandie Newton.
Playwright, poet, and novelist Ntozake Shange originally composed for colored girls who have considered suicide/when the rainbow is enuf in as a mesmerizingly original choreopoem. The New York Post called it ""rich with the author's special voice: by turns bitter, funny, ironic, and savage; fiercely honest and personal."" Now a new audiobook, it chronicles the interconnected lives of a group of women facing shatteringly difficult issues, and evokes the indomitable power of enduring hope and joy.
Thandie Newton, from the movies Crash, The Pursuit of Happyness, and W., captures each emotion with heartbreaking honesty in a fearless, passionate, and inspiring performance of the author's vivid and lyrical language. The New York Times says ""Ntozake Shange writes with such exquisite care and beauty that anyone can relate to her message.""","Drama","Program Type: Audiobook","","for colored girls who have considered…"
"for colored girls who have considered…","https://www.amazon.com/colored-girls-have-considered-suicide/dp/B004ADO5HC/ref=zg_bs_10248_25/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","204 customer reviews","-''-","Drama","","English, English","for colored girls who have considered…"
"She Felt Like Feeling Nothing","https://www.amazon.com/She-Felt-Like-Feeling-Nothing/dp/1449494250/ref=zg_bs_10248_26/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$13.14","Paperback","52 customer reviews","New York Times Bestseller
From the bestselling author of the Whiskey, Words, and a Shovel series comes this poetic reminder of women's strength.
There are moments when the heart no longer wishes to feel because everything it's felt up until then has brought it nothing but anguish. In She Felt Like Feeling Nothing, r.h. Sin pursues themes of self-discovery and retrospection. With this book, the poet intends to create a safe space where women can rest their weary hearts and focus on themselves.","","Language: English","","She Felt Like Feeling Nothing"
"She Felt Like Feeling Nothing","https://www.amazon.com/She-Felt-Like-Feeling-Nothing/dp/1449494250/ref=zg_bs_10248_26/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$13.14","Paperback","52 customer reviews","New York Times Bestseller
From the bestselling author of the Whiskey, Words, and a Shovel series comes this poetic reminder of women's strength.
There are moments when the heart no longer wishes to feel because everything it's felt up until then has brought it nothing but anguish. In She Felt Like Feeling Nothing, r.h. Sin pursues themes of self-discovery and retrospection. With this book, the poet intends to create a safe space where women can rest their weary hearts and focus on themselves.","","","English","She Felt Like Feeling Nothing"
"Inward","https://www.amazon.com/Inward-Yung-Pueblo/dp/1449495753/ref=zg_bs_10248_27/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Yung Pueblo","$11.59","Paperback","88 customer reviews","","Caribbean & Latin American Poetry","Language: English","","Inward"
"Inward","https://www.amazon.com/Inward-Yung-Pueblo/dp/1449495753/ref=zg_bs_10248_27/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Yung Pueblo","$11.59","Paperback","88 customer reviews","","Caribbean & Latin American Poetry","","English","Inward"
"The Odyssey","https://www.amazon.com/The-Odyssey/dp/B000OYDLE4/ref=zg_bs_10248_28/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","4,428 customer reviews","","","Program Type: Audiobook","","The Odyssey"
"The Odyssey","https://www.amazon.com/The-Odyssey/dp/B000OYDLE4/ref=zg_bs_10248_28/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","4,428 customer reviews","","","","English, English","The Odyssey"
"The 20th Century in Poetry","https://www.amazon.com/20th-Century-Poetry-Michael-Hulse-ebook/dp/B00DZEJUXQ/ref=zg_bs_10248_29/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$2.99","Kindle Edition","12 customer reviews","","","Publisher: Pegasus Books; 1 edition (August 6, 2013)","","The 20th Century in Poetry"
"The 20th Century in Poetry","https://www.amazon.com/20th-Century-Poetry-Michael-Hulse-ebook/dp/B00DZEJUXQ/ref=zg_bs_10248_29/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$2.99","Kindle Edition","12 customer reviews","","","","English","The 20th Century in Poetry"
"Citizen: An American Lyric","https://www.amazon.com/Citizen-American-Lyric-Claudia-Rankine/dp/1555976905/ref=zg_bs_10248_30/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Claudia Rankine","$13.59","Paperback","329 customer reviews","","","Language: English","","Citizen: An American Lyric"
"Citizen: An American Lyric","https://www.amazon.com/Citizen-American-Lyric-Claudia-Rankine/dp/1555976905/ref=zg_bs_10248_30/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Claudia Rankine","$13.59","Paperback","329 customer reviews","","","","English","Citizen: An American Lyric"
"Edgar Allan Poe - The Complete Works…","https://www.amazon.com/Edgar-Allan-Poe-Complete-Collection/dp/B079K1QGYC/ref=zg_bs_10248_31/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","3 customer reviews","","","Program Type: Audiobook","","Edgar Allan Poe - The Complete Works…"
"Edgar Allan Poe - The Complete Works…","https://www.amazon.com/Edgar-Allan-Poe-Complete-Collection/dp/B079K1QGYC/ref=zg_bs_10248_31/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","3 customer reviews","","","","English","Edgar Allan Poe - The Complete Works…"
"Nocturnal","https://www.amazon.com/Nocturnal-Wilder-Poetry/dp/1719215251/ref=zg_bs_10248_32/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Wilder Poetry","$5.62","Paperback","63 customer reviews","","Nature Poetry","Language: English","","Nocturnal"
"Nocturnal","https://www.amazon.com/Nocturnal-Wilder-Poetry/dp/1719215251/ref=zg_bs_10248_32/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Wilder Poetry","$5.62","Paperback","63 customer reviews","","Nature Poetry","","English","Nocturnal"
"The Bell Jar (Modern Classics)","https://www.amazon.com/Bell-Jar-Modern-Classics/dp/0060837020/ref=zg_bs_10248_33/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Sylvia Plath","$15.19","Paperback","1,473 customer reviews","The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under -- maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.
This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.","","Publisher: Harper Perennial Modern Classics; 1 edition (August 2, 2005)","","The Bell Jar (Modern Classics)"
"The Bell Jar (Modern Classics)","https://www.amazon.com/Bell-Jar-Modern-Classics/dp/0060837020/ref=zg_bs_10248_33/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Sylvia Plath","$15.19","Paperback","1,473 customer reviews","-''-","","","English","The Bell Jar (Modern Classics)"
"The Dark Between Stars: Poems","https://www.amazon.com/Dark-Between-Stars-Poems/dp/1982104864/ref=zg_bs_10248_34/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$13.02","Paperback","90 customer reviews","NEW YORK TIMES BESTSELLER
From the internationally bestselling author of Love Her Wild comes The Dark Between Stars, a new illustrated collection of heartfelt, whimsical, and romantic poems from Instagram poetry sensation, Atticus.
Atticus, has captured the hearts and minds of nearly 700k followers (including stars like Karlie Kloss, Emma Roberts, and Alicia Keys). In his second collection of poetry, The Dark Between Stars, he turns his attention to the dualities of our lived experiences—the inescapable connections between our highest highs and lowest lows. He captures the infectious energy of starting a relationship, the tumultuous realities of commitment, and the agonizing nostalgia of being alone again. While grappling with the question of how to live with purpose and find meaning in the journey, these poems offer both honest explorations of loneliness and our search for connection, as well as light-hearted, humorous observations. As Atticus writes poignantly about dancing, Paris, jazz clubs, sunsets, sharing a bottle of wine on the river, rainy days, creating, and destroying, he illustrates that we need moments of both beauty and pain—the darkness and the stars—to fully appreciate all that life and love have to offer.","","Language: English","","The Dark Between Stars: Poems"
"The Dark Between Stars: Poems","https://www.amazon.com/Dark-Between-Stars-Poems/dp/1982104864/ref=zg_bs_10248_34/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$13.02","Paperback","90 customer reviews","-''-","","","English","The Dark Between Stars: Poems"
"The Essential Rumi, New Expanded Edition","https://www.amazon.com/Essential-Rumi-New-Expanded/dp/0062509594/ref=zg_bs_10248_35/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.55","Paperback","411 customer reviews","","Middle Eastern Poetry","Language: English","","The Essential Rumi, New Expanded Edition"
"The Essential Rumi, New Expanded Edition","https://www.amazon.com/Essential-Rumi-New-Expanded/dp/0062509594/ref=zg_bs_10248_35/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$11.55","Paperback","411 customer reviews","","Middle Eastern Poetry","","English","The Essential Rumi, New Expanded Edition"
"Silence: poetry, photos & a f**k ton of…","https://www.amazon.com/Silence-poetry-photos-ton-feelings/dp/1985169894/ref=zg_bs_10248_36/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Camilla Nicole Petyn","$16.19","Paperback","28 customer reviews","","","Language: English","","Silence: poetry, photos & a f**k ton of…"
"Silence: poetry, photos & a f**k ton of…","https://www.amazon.com/Silence-poetry-photos-ton-feelings/dp/1985169894/ref=zg_bs_10248_36/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Camilla Nicole Petyn","$16.19","Paperback","28 customer reviews","","","","English","Silence: poetry, photos & a f**k ton of…"
"The Prophet (A Borzoi Book)","https://www.amazon.com/Prophet-Borzoi-Book-Kahlil-Gibran/dp/0394404289/ref=zg_bs_10248_37/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Kahlil Gibran","$8.99","Hardcover","1,500 customer reviews","Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.
The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.
Each essay reveals deep insights into the impulses of the human heart and mind. The Chicago Post said of The Prophet: “Cadenced and vibrant with feeling, the words of Kahlil Gibran bring to one’s ears the majestic rhythm of Ecclesiastes . . . If there is a man or woman who can read this book without a quiet acceptance of a great man’s philosophy and a singing in the heart as of music born within, that man or woman is indeed dead to life and truth.”
With twelve full-page drawings by Gibran, this beautiful work makes an incredible gift for anyone seeking enlightenment and inspiration.","","Language: English","","The Prophet (A Borzoi Book)"
"The Prophet (A Borzoi Book)","https://www.amazon.com/Prophet-Borzoi-Book-Kahlil-Gibran/dp/0394404289/ref=zg_bs_10248_37/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Kahlil Gibran","$8.99","Hardcover","1,500 customer reviews","-''-","","","English","The Prophet (A Borzoi Book)"
"Black Book of Poems","https://www.amazon.com/Black-Book-Poems-Vincent-Hunanyan-ebook/dp/B07B9R1J5X/ref=zg_bs_10248_38/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Vincent Hunanyan","$0.99
Save $3.00 (75%)","Kindle Edition","234 customer reviews","","Ancient, Classical & Medieval Poetry","","English","Black Book of Poems"
"2am Thoughts","https://www.amazon.com/2am-Thoughts-Makenzie-Campbell/dp/0692100601/ref=zg_bs_10248_39/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$10.76","Paperback","47 customer reviews","","","Language: English","","2am Thoughts"
"2am Thoughts","https://www.amazon.com/2am-Thoughts-Makenzie-Campbell/dp/0692100601/ref=zg_bs_10248_39/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$10.76","Paperback","47 customer reviews","","","","English","2am Thoughts"
"the princess saves herself in this one","https://www.amazon.com/princess-saves-herself-this-one/dp/144948641X/ref=zg_bs_10248_40/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Amanda Lovelace","$11.99","Paperback","579 customer reviews","Winner of the 2016 Goodreads Choice Award, the princess saves herself in this one is a collection of poetry about resilience. It is about writing your own ending.
From Amanda Lovelace, a poetry collection in four parts: the princess, the damsel, the queen, and you. The first three sections piece together the life of the author while the final section serves as a note to the reader. This moving book explores love, loss, grief, healing, empowerment, and inspiration.
the princess saves herself in this one is the first book in the ""women are some kind of magic"" series.","","Language: English","","the princess saves herself in this one"
"the princess saves herself in this one","https://www.amazon.com/princess-saves-herself-this-one/dp/144948641X/ref=zg_bs_10248_40/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Amanda Lovelace","$11.99","Paperback","579 customer reviews","-''-","","","English","the princess saves herself in this one"
"The Rose That Grew From Concrete","https://www.amazon.com/Rose-That-Grew-Concrete/dp/0671028456/ref=zg_bs_10248_41/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Tupac Shakur","$9.99","Paperback","574 customer reviews","Tupac Shakur's most intimate and honest thoughts were uncovered only after his death with the instant classic The Rose That Grew from Concrete.
His talent was unbounded -- a raw force that commanded attention and respect.
His death was tragic -- a violent homage to the power of his voice.
His legacy is indomitable -- as vibrant and alive today as it has ever been.
For the first time in paperback, this collection of deeply personal poetry is a mirror into the legendary artist's enigmatic world and its many contradictions.
Written in his own hand from the time he was nineteen, these seventy-two poems embrace his spirit, his energy -- and his ultimate message of hope.","","Language: English","","The Rose That Grew From Concrete"
"The Rose That Grew From Concrete","https://www.amazon.com/Rose-That-Grew-Concrete/dp/0671028456/ref=zg_bs_10248_41/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Tupac Shakur","$9.99","Paperback","574 customer reviews","-''-","","","English","The Rose That Grew From Concrete"
"The Inferno (Signet Classics)","https://www.amazon.com/Inferno-Signet-Classics-Dante-Alighieri/dp/0451531396/ref=zg_bs_10248_42/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$4.76","Mass Market Paperback","2,281 customer reviews","Share","","","",""